feature,importance
Age,0.16164848391773703
FarePerPerson,0.15204370196538988
Fare,0.14837755924546886
Title_Mr,0.10392145441719515
Sex_female,0.09061925802298938
Sex_male,0.07541801588800502
Pclass,0.053085000101487576
FamilySize,0.036966209925832924
SibSp,0.02503273369487198
Title_Miss,0.022986542227629598
Title_Mrs,0.019524358178405008
Parch,0.01593373517400202
Embarked_S,0.01402981410161365
AgeGroup_Young,0.011950398796963264
AgeGroup_Adult,0.011572610927730072
Embarked_C,0.011560009635936454
IsAlone,0.010533611573495926
AgeGroup_Child,0.008018901610924285
Title_Master,0.007175665020997899
Embarked_Q,0.006978634641513313
AgeGroup_Teen,0.0061299279924886515
Title_Rare,0.0036081209709908956
AgeGroup_Senior,0.0028852519683312287
