feature,shap_abs_mean
Title_Mr,0.07979740989405124
Sex_female,0.0734304287333272
Sex_male,0.06332304044665198
FarePerPerson,0.06156045767205384
Pclass,0.0508521117443781
Fare,0.04985769535533544
Age,0.045724323477324136
Title_Mrs,0.015712265122277164
Title_Miss,0.014879678437229538
Embarked_S,0.014789886615411212
FamilySize,0.014419737458904524
Embarked_C,0.012327775854951406
SibSp,0.009613132065657212
AgeGroup_Adult,0.009149657813139417
AgeGroup_Young,0.009130129696553534
AgeGroup_Child,0.007629987013136458
IsAlone,0.007252244720622548
Title_Master,0.006884675470793616
Parch,0.005580749693407227
Embarked_Q,0.0047682973625711245
AgeGroup_Teen,0.0029443097071614505
Title_Rare,0.0017119970157754472
AgeGroup_Senior,0.0014824641616066564
