Experiment,Missing,Encoding,Scaling,FeatureSelection,Model,Accuracy,Precision,Recall,F1,ROC_AUC
Exp-1,mean,onehot,standard,X,logistic_regression,0.8435754189944135,0.8253968253968254,0.7536231884057971,0.7878787878787878,0.881159420289855
Exp-11,median,onehot,robust,X,logistic_regression,0.8435754189944135,0.8253968253968254,0.7536231884057971,0.7878787878787878,0.8797101449275363
Exp-13,most_frequent,onehot,robust,X,logistic_regression,0.8435754189944135,0.8360655737704918,0.7391304347826086,0.7846153846153846,0.8801054018445323
Exp-17,most_frequent,onehot,standard,X,logistic_regression,0.8435754189944135,0.8360655737704918,0.7391304347826086,0.7846153846153846,0.8798418972332016
Exp-7,median,onehot,minmax,X,logistic_regression,0.8435754189944135,0.8360655737704918,0.7391304347826086,0.7846153846153846,0.8785243741765482
Exp-5,mean,onehot,minmax,X,logistic_regression,0.8435754189944135,0.8360655737704918,0.7391304347826086,0.7846153846153846,0.8783926218708829
Exp-7,median,onehot,minmax,X,random_forest,0.8268156424581006,0.796875,0.7391304347826086,0.7669172932330827,0.8288537549407115
Exp-17,most_frequent,onehot,standard,X,random_forest,0.8268156424581006,0.796875,0.7391304347826086,0.7669172932330827,0.8235177865612648
Exp-5,mean,onehot,minmax,X,random_forest,0.8212290502793296,0.7846153846153846,0.7391304347826086,0.7611940298507462,0.8285902503293808
Exp-1,mean,onehot,standard,X,random_forest,0.8212290502793296,0.7846153846153846,0.7391304347826086,0.7611940298507462,0.8275362318840579
Exp-6,mean,label,minmax,O,random_forest,0.8212290502793296,0.7846153846153846,0.7391304347826086,0.7611940298507462,0.8261528326745718
Exp-13,most_frequent,onehot,robust,X,random_forest,0.8212290502793296,0.7846153846153846,0.7391304347826086,0.7611940298507462,0.8256916996047432
Exp-4,mean,label,standard,O,random_forest,0.8212290502793296,0.7846153846153846,0.7391304347826086,0.7611940298507462,0.825098814229249
Exp-10,median,label,minmax,O,random_forest,0.8212290502793296,0.7936507936507936,0.7246376811594203,0.7575757575757576,0.8261528326745718
Exp-11,median,onehot,robust,X,random_forest,0.8212290502793296,0.7936507936507936,0.7246376811594203,0.7575757575757576,0.8249670619235836
Exp-15,most_frequent,label,robust,X,random_forest,0.8156424581005587,0.7727272727272727,0.7391304347826086,0.7555555555555555,0.8255599472990777
Exp-3,mean,label,standard,X,random_forest,0.8156424581005587,0.7727272727272727,0.7391304347826086,0.7555555555555555,0.8242424242424242
Exp-18,most_frequent,label,minmax,O,random_forest,0.8156424581005587,0.78125,0.7246376811594203,0.7518796992481203,0.8235836627140974
Exp-16,most_frequent,label,robust,O,random_forest,0.8100558659217877,0.7692307692307693,0.7246376811594203,0.746268656716418,0.8221343873517786
Exp-9,median,label,minmax,X,random_forest,0.8044692737430168,0.75,0.7391304347826086,0.7445255474452555,0.8270750988142291
Exp-3,mean,label,standard,X,logistic_regression,0.8156424581005587,0.8103448275862069,0.6811594202898551,0.7401574803149606,0.8573122529644268
Exp-12,median,label,robust,O,random_forest,0.8100558659217877,0.7868852459016393,0.6956521739130435,0.7384615384615385,0.8231884057971014
Exp-15,most_frequent,label,robust,X,logistic_regression,0.8100558659217877,0.7966101694915254,0.6811594202898551,0.734375,0.8555994729907773
Exp-9,median,label,minmax,X,logistic_regression,0.8044692737430168,0.7833333333333333,0.6811594202898551,0.7286821705426356,0.8553359683794467
Exp-4,mean,label,standard,O,logistic_regression,0.7932960893854749,0.7580645161290323,0.6811594202898551,0.7175572519083969,0.8417654808959156
Exp-12,median,label,robust,O,logistic_regression,0.7877094972067039,0.746031746031746,0.6811594202898551,0.7121212121212122,0.8401844532279316
Exp-6,mean,label,minmax,O,logistic_regression,0.7821229050279329,0.734375,0.6811594202898551,0.706766917293233,0.8420289855072464
Exp-10,median,label,minmax,O,logistic_regression,0.7821229050279329,0.734375,0.6811594202898551,0.706766917293233,0.841897233201581
Exp-16,most_frequent,label,robust,O,logistic_regression,0.7821229050279329,0.7419354838709677,0.6666666666666666,0.7022900763358778,0.8397891963109355
Exp-18,most_frequent,label,minmax,O,logistic_regression,0.776536312849162,0.7301587301587301,0.6666666666666666,0.696969696969697,0.8393939393939394
Exp-8,median,onehot,minmax,O,logistic_regression,0.770949720670391,0.7121212121212122,0.6811594202898551,0.6962962962962963,0.8511198945981554
Exp-8,median,onehot,minmax,O,random_forest,0.7653631284916201,0.6956521739130435,0.6956521739130435,0.6956521739130435,0.8260210803689066
Exp-14,most_frequent,onehot,robust,O,random_forest,0.7653631284916201,0.6956521739130435,0.6956521739130435,0.6956521739130435,0.8252305665349144
Exp-2,mean,onehot,standard,O,random_forest,0.7653631284916201,0.6956521739130435,0.6956521739130435,0.6956521739130435,0.8251646903820818
Exp-14,most_frequent,onehot,robust,O,logistic_regression,0.7653631284916201,0.7076923076923077,0.6666666666666666,0.6865671641791045,0.8542160737812912
Exp-2,mean,onehot,standard,O,logistic_regression,0.7653631284916201,0.7076923076923077,0.6666666666666666,0.6865671641791045,0.8539525691699605
Base,None,None,None,X,logistic_regression,0.7062937062937062,0.6904761904761905,0.5,0.58,0.7407707910750506
Base,None,None,None,X,random_forest,0.6503496503496503,0.5714285714285714,0.5517241379310345,0.5614035087719298,0.6939148073022312
